County,2010,2011,2012,2013,2014,2015,2016,2017,Selected Years Total
Wayne,647.5,765,871.1,874.4,768,639.9,568,546.7,710.6
Webster,215.1,250.8,*,220.7,415.3,*,346.3,230.3,245.4
Wheeler,256,251.9,316.9,189.7,250.2,227.8,213.1,176.1,235
White,312.9,275,286.7,277,257.4,335.5,294.3,275,289.2
Whitfield,269.1,273.3,280.6,252.6,244.3,219.7,247.6,191.1,247.2
Wilcox,345.2,301.1,441.1,401.8,429.5,440.3,376.7,227.3,370.2
Wilkes,651.6,460.3,575.6,869.1,734.4,922.3,"1,172.90",990.7,793.6
Wilkinson,555.6,476.5,532.5,381.7,546.9,436.9,505.3,446.5,485.7
Worth,651.9,656.9,731.3,587.1,702,594.2,838.6,754.9,689.1
County Summary,543.5,544.4,614.6,560,561.9,515.9,538.8,525.5,550.3
